Id,FieldSampleName,TopDepth,MiddleDepth,BottomDepth,SampleDate,Site,Matrix,Location,SampleType,Latitude,Longitude,ChemicalName,ResultId,DetectionLimit,CAS,AnalyticalMethod,Detected,Result,Qualifier,ConcentrationUnits,Filtration,LocationID
1,13A1(00-04)S,0,0,4,11/05/13 9:35:00,Capital Lakes,Soil,13-A1,Site Sample,30.455,-91.18113445,Magnesium,140,23.53,7439-95-4,6010B,1,856,,mg/Kg,,3425
2,13A1(04-08)S,4,6,8,11/05/13 9:50:00,Capital Lakes,Soil,13-A1,Site Sample,30.455,-91.18113445,Magnesium,140,24.1,7439-95-4,6010B,1,4330,,mg/Kg,,3425
3,13A2(00-04)S,0,0,4,11/05/13 11:40:00,Capital Lakes,Soil,13-A2,Site Sample,30.46895,-91.18353127,Magnesium,140,22.22,7439-95-4,6010B,1,539,,mg/Kg,,3426
4,13A2(04-08)S,4,6,8,11/05/13 12:00:00,Capital Lakes,Soil,13-A2,Site Sample,30.46895,-91.18353127,Magnesium,140,23.53,7439-95-4,6010B,1,6030,,mg/Kg,,3426
5,91A1(00-04)S,0,0,4,11/04/13 10:10:00,Capital Lakes,Soil,91-A1,Site Sample,30.45693,-91.1898274,Magnesium,140,22.73,7439-95-4,6010B,1,390,,mg/Kg,,3491
6,91A1(04-08)S,4,6,8,11/04/13 10:20:00,Capital Lakes,Soil,91-A1,Site Sample,30.45693,-91.1898274,Magnesium,140,24.1,7439-95-4,6010B,1,705,,mg/Kg,,3491
7,91A2(00-04)S,0,0,4,11/04/13 11:20:00,Capital Lakes,Soil,91-A2,Site Sample,30.45617,-91.18439253,Magnesium,140,23.26,7439-95-4,6010B,1,920,,mg/Kg,,3492
8,91A2(04-08)S,4,6,8,11/04/13 11:30:00,Capital Lakes,Soil,91-A2,Site Sample,30.45617,-91.18439253,Magnesium,140,23.53,7439-95-4,6010B,1,1410,,mg/Kg,,3492
9,92A1(00-04)S,0,0,4,11/03/13 16:10:00,Capital Lakes,Soil,92-A1,Site Sample,30.46073,-91.17848334,Magnesium,140,23.26,7439-95-4,6010B,1,295,,mg/Kg,,3496
10,92A1(04-08)S,4,6,8,11/03/13 16:15:00,Capital Lakes,Soil,92-A1,Site Sample,30.46073,-91.17848334,Magnesium,140,23.81,7439-95-4,6010B,1,725,,mg/Kg,,3496
