time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-24T18:32:02.900Z,18.8859,-66.705,41,4,Ml,43,176.4,0.43927617,0.92,pr,pr17083003,2017-03-24T19:02:39.401Z,"41km N of Carrizales, Puerto Rico",earthquake,10,10,0,17,reviewed,pr,pr
2017-03-24T16:55:35.560Z,36.1344,-97.8207,5,3.5,mb_lg,,29,0.101,0.2,us,us20008ucq,2017-03-24T18:57:15.306Z,"7km ENE of Hennessey, Oklahoma",earthquake,1.2,2,0.053,93,reviewed,us,us
2017-03-24T16:50:52.960Z,35.8462,-97.3661,6.4,2.5,mb_lg,,47,0.087,0.25,us,us20008ucm,2017-03-24T18:59:41.040Z,"6km SE of Guthrie, Oklahoma",earthquake,1.1,3.1,0.128,16,reviewed,us,us
2017-03-24T16:43:27.720Z,26.9117,127.2388,85.23,5.1,mww,,60,0.926,1.14,us,us20008uci,2017-03-24T19:20:27.647Z,"79km NW of Ishikawa, Japan",earthquake,7.1,5.1,,,reviewed,us,us
2017-03-24T16:12:16.454Z,60.7679,-149.7454,96.4,2.7,ml,,,,0.84,ak,ak15628459,2017-03-24T16:22:20.309Z,"50km S of Anchorage, Alaska",earthquake,,1.6,,,automatic,ak,ak
2017-03-24T13:38:08.655Z,51.7156,-169.8989,43.3,3.1,ml,,,,0.63,ak,ak15632223,2017-03-24T19:35:21.094Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,164.2,,,reviewed,ak,ak
2017-03-24T10:37:23.740Z,-4.0163,-80.8987,35,4.4,mb,,130,1.82,1.01,us,us20008u97,2017-03-24T11:20:58.713Z,"19km ENE of Mancora, Peru",earthquake,7.8,2,0.083,42,reviewed,us,us
2017-03-24T10:33:58.670Z,-5.1217,129.8096,184.76,4.4,mb,,52,3.204,0.82,us,us20008u99,2017-03-24T14:04:44.040Z,"214km SE of Saparua, Indonesia",earthquake,7.8,5.2,0.092,34,reviewed,us,us
2017-03-24T09:22:06.370Z,19.1681667,-155.4716667,36.927,2.53,ml,44,79,0.01557,0.1,hv,hv61659141,2017-03-24T16:52:48.790Z,"4km SSE of Pahala, Hawaii",earthquake,0.6,1.02,0.139,11,reviewed,hv,hv
2017-03-24T09:10:29.985Z,59.4121,-152.8663,75,2.5,ml,,,,0.6,ak,ak15623484,2017-03-24T09:26:44.214Z,"71km SW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
