Location,Port,Start Date/Time,End Date/Time,Method,Parameter,Result,Qualifier,Unit,Sample Delivery Group,Laboratory
AIHR Shark 2,12,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,35,,ug,L426458,SGS Galson
AIHR Shark 2,11,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,41,,ug,L426458,SGS Galson
AIHR Shark 2,10,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,55,,ug,L426458,SGS Galson
AIHR Shark 2,9,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,160,,ug,L426458,SGS Galson
AIHR Shark 2,8,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,210,,ug,L426458,SGS Galson
AIHR Shark 2,7,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,160,,ug,L426458,SGS Galson
AIHR Shark 2,6,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,91,,ug,L426458,SGS Galson
AIHR Shark 2,5,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,77,,ug,L426458,SGS Galson
AIHR Shark 2,4,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,74,,ug,L426458,SGS Galson
AIHR Shark 2,3,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,53,,ug,L426458,SGS Galson
AIHR Shark 2,2,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,42,,ug,L426458,SGS Galson
AIHR Shark 2,1,11/10/17 10:45:00,11/21/17 10:30:00,MET9688,Total Hydrocarbons,35,,ug,L426458,SGS Galson
AIHR Shark 2,12,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
AIHR Shark 2,11,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
AIHR Shark 2,10,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
AIHR Shark 2,9,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,3,,ug,L426458,SGS Galson
AIHR Shark 2,8,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,5,,ug,L426458,SGS Galson
AIHR Shark 2,7,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,4,,ug,L426458,SGS Galson
AIHR Shark 2,6,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,2,,ug,L426458,SGS Galson
AIHR Shark 2,5,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,1,,ug,L426458,SGS Galson
AIHR Shark 2,4,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
AIHR Shark 2,3,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
AIHR Shark 2,2,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
AIHR Shark 2,1,11/10/17 10:45:00,11/21/17 10:30:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
AIHR Shark 1,12,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,34,,ug,L426458,SGS Galson
AIHR Shark 1,11,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,37,,ug,L426458,SGS Galson
AIHR Shark 1,10,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,49,,ug,L426458,SGS Galson
AIHR Shark 1,9,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,68,,ug,L426458,SGS Galson
AIHR Shark 1,8,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,110,,ug,L426458,SGS Galson
AIHR Shark 1,7,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,140,,ug,L426458,SGS Galson
AIHR Shark 1,6,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,160,,ug,L426458,SGS Galson
AIHR Shark 1,5,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,150,,ug,L426458,SGS Galson
AIHR Shark 1,4,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,120,,ug,L426458,SGS Galson
AIHR Shark 1,3,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,87,,ug,L426458,SGS Galson
AIHR Shark 1,2,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,62,,ug,L426458,SGS Galson
AIHR Shark 1,1,11/10/17 10:30:00,11/21/17 10:15:00,MET9688,Total Hydrocarbons,44,,ug,L426458,SGS Galson
AIHR Shark 1,12,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
AIHR Shark 1,11,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
AIHR Shark 1,10,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
AIHR Shark 1,9,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,1,,ug,L426458,SGS Galson
AIHR Shark 1,8,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,2,,ug,L426458,SGS Galson
AIHR Shark 1,7,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,3,,ug,L426458,SGS Galson
AIHR Shark 1,6,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,3,,ug,L426458,SGS Galson
AIHR Shark 1,5,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,3,,ug,L426458,SGS Galson
AIHR Shark 1,4,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,2,,ug,L426458,SGS Galson
AIHR Shark 1,3,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,2,,ug,L426458,SGS Galson
AIHR Shark 1,2,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
AIHR Shark 1,1,11/10/17 10:30:00,11/21/17 10:15:00,MET9684,Benzene,1,<,ug,L426458,SGS Galson
